"""Anio"",""Alumnos_millones"""
1,970,401.70
1,971,412.40
1,972,425.90
1,973,448.80
1,974,463.30
1,975,478.80
1,976,490.70
1,977,500
1,978,502.40
1,979,511.60
1,980,524.50
1,981,533.50
1,982,540.30
1,983,544.40
1,984,548.80
1,985,551.80
1,986,555.40
1,987,557.60
1,988,564.90
1,989,571.90
1,990,576.80
1,991,582.80
1,992,588.90
1,993,599.30
1,994,610.40
1,995,619.60
1,996,628.40
1,997,640.60
1,998,648.80
1,999,653.60
2,000,654.90
2,001,654
2,002,651.60
2,003,655
2,004,676.70
2,005,679.30
2,006,682
2,007,689.80
2,008,693.80
2,009,695
2,010,697.50
2,011,702.40
2,012,710.50
2,013,716.30
2,014,715.10
2,015,719.60
2,016,737
2,017,743.20
2,018,732.30
2,019,741.30
2,020,750.40
2,021,754.60
2,022,767.70
2,023,771.40
